numero,denomination,service,type_cape,departement,commune,arrondissement,localisation,gups,telephone1,telephone2,email,nom_promoteur,reference_agrement,annee_agrement
1,Centre joie infantile de l’Association des Messagers de la Paix,CAPE,,Littoral,,,"Cotonou, Fidjrossè 12ème arrondissement, Akogbato",Akogbato,0166419526,016419526,,NOUMONVI Francis,,
2,Orphelinat Saint Joseph des Frères CAPUCCINS,CAPE,,Littoral,,,"Cotonou, Tokplégbé, 1er arrondissement, Suru-Léré",Suru-Léré,0162356594,0195349493,,,,
3,Centre Terres Rouges,CAPE,,Littoral,,,"Cotonou Cadjèhoun 12ème arrondissement, Akogbato",Akogbato,0197894271,0197077310,,MESSENS Eric,,
4,Centre d'Accueil des Orphelins et Enfants Vulnérables « OHANA >>,CAPE,,Littoral,,,Cotonou Vèdoko,,0167277115,,,,,
5,Orphelinat Assafwa,CAPE,,Littoral,,,"Cotonou, Fidjrossè 12ème arrondissement, Akogbato",Akogbato,0162694896,0196627268,,ELEMAN Affisou,,
6,Foyer « Paix et Joie » des Sœurs Missionnaires,CAPE,,Littoral,,,"Cotonou, Misseplé, 7eme arrondissement, Wologuèdè",Wologuèdè,0196231918,0161763241,,,,
7,"La maison du Soleil, congrégation de l’IFMA",CAPE,,Littoral,,,"Cotonou, Hindé 6ème Arrondissement, Ste Cécile",Ste Cécile,0167190477,0167075175,,AMEGNAGLO Monique,,
8,"Foyer Laura Vicuna, Congrégation des Sœur de l’IFMA",CAPE,,Littoral,,,"Cotonou, Zogbo, 9eme arrondissement, Mènontin",Mènontin,0121382139,0166878672,,Sœur Rebecca,,
9,Foyer Maman Marguerite,CAPE,,Littoral,,,"Cotonou, Aidjèdo 6ème Arrondissement, Ste Cécile",Ste Cécile,0163000517,0163000211,,Xec MARQUES COLL,,
10,Dortoir de nuit des filles Houéfa,CAPE,,Littoral,,,"Cotonou, Aidjèdo 6ème Arrondissement, Ste Cécile",Ste Cécile,0197894271,,,Hermann Jesse HESSOU,,
11,Foyer Sonagnon,CAPE,,Littoral,,,"Cotonou, 11ème arrondissement, Ahogbohouè",Ahogbohouè,0161057832,0197682230,,GNINDE Nadège Eudoxie,,
12,Dortoir de nuit des garçons,CAPE,,Littoral,,,"Cotonou, Gbèdjromèdé, 6ème arrondissement, Ste Cécile",Ste Cécile,0197894271,,,Hermann Jesse HESSOU,,
13,Maison communautaire,CAPE,,Littoral,,,"Cotonou, Aidjèdo 6ème Arrondissement, Ste Cécile",Ste Cécile,0197894271,,,Hermann Jesse HESSOU,,
14,Maison d’accueil de l’orphelinat La Vallée de Bénidiction Béraka,CAPE,,Atlantique,,,"Quartier Kpovié arrondissement, Pahou, Ouidah",Pahou,0194708083,0196341772,,,,
15,CAPE REMAR,CAPE,,Atlantique,,,"Ganlononcodji, Ouidah",Ouidah,0197474393,,,,,
16,Orphelinat Espoir d’enfant Bénin (OEEB),CAPE,,Atlantique,,,"3ème arrondissement, Ouidah",Ouidah,0197019386,,,,,
17,Esperanza,CAPE,,Atlantique,,,"Cité la joie, Abomey-Calavi",Abomey-calavi,0160379394,,,,,
18,Village d'Enfant SOS Abomey Calavi,CAPE,,Atlantique,,,"Agori, Abomey-Calavi",Abomey-calavi,0166433331,,,,,
19,Claudio MIGNECO,CAPE,,Atlantique,,,"Agassa godomey, Abomey-Calavi, Akassato",Akassato,0167237372,0197072498,,,,
20,Orphelinat Maison Fifamè,CAPE,,Atlantique,,,"Alomé, Allada",Allada,0160705454,,,,,
21,Refuge de l’enfant Benedetta Bartolozzi,CAPE,,Atlantique,,,"Ouègbo, Toffo",Toffo,0197072498,0194078500,,,,
22,Maison d'Accueil Fifatin CASA GRANDE,CAPE,,Atlantique,,,Allada,Allada,0194953904,,,,,
23,Centre Vidjingni Les Archanges,CAPE,,Atlantique,,,Kpomassè,Kpomassè,016042322,,,,,
24,Centre de Protection de l'Enfance St Joseph,CAPE,,Atlantique,,,Toffo,Toffo,0152528778,,,,,
25,Centre Ylang Ylang,CAPE,,Atlantique,,,Allada,Allada,0163691464,0152750846,,,,
26,Fontaine Divine,CAPE,,Atlantique,,,Tori-Bossito,Tori-bossito,0195567029,0197125499,,,,
